Year;Value
1996;125000
1997;147250
1998;170000
1999;210000
2000;249950
2001;262000
2002;295000
2003;315000
2004;337429
2005;368000
2006;400000
2007;443500
2008;499000
2009;450000
2010;585000
2011;600000
