Year;Value
1996;80000
1997;92500
1998;106500
1999;125000
2000;160000
2001;176250
2002;190000
2003;212500
2004;230000
2005;245255
2006;250000
2007;294950
2008;310000
2009;300000
2010;342000
2011;354742
